Track,Artist,Popularity,duration_ms,explicit,Danceability,Energy,key,Loudness,mode,speechiness,Acousticness,instrumentalness,liveness,Valence,BPM,Genre
Affection,Cigarettes After Sex,67,311000,True,0.403,0.417,7,-11.252,1,0.0257,0.5,0.889,0.105,0.251,89.966,ambient
Keep on Loving You,Cigarettes After Sex,65,233010,False,0.456,0.364,2,-9.336,0,0.0252,0.533,0.96,0.111,0.116,73.457,ambient
Experience,Ludovico Einaudi;Daniel Hope;I Virtuosi Italiani,79,315426,False,0.447,0.449,2,-10.634,1,0.0376,0.934,0.961,0.0697,0.036,92.468,ambient
State Lines,Novo Amor,73,208653,False,0.509,0.31,9,-10.623,1,0.0313,0.959,0.229,0.0963,0.151,137.474,ambient
Falling In Love,Cigarettes After Sex,68,245840,False,0.472,0.27,7,-11.649,1,0.027,0.729,0.0158,0.125,0.373,140.673,ambient
You're All I Want,Cigarettes After Sex,68,264453,False,0.233,0.471,5,-10.947,1,0.0294,0.363,0.828,0.113,0.277,182.161,ambient
Carry You,Novo Amor,68,273106,False,0.334,0.397,7,-7.993,1,0.0284,0.558,0.0774,0.126,0.035,93.445,ambient
Dreaming of You,Cigarettes After Sex,63,322218,False,0.298,0.398,7,-14.911,1,0.0365,0.549,0.105,0.136,0.174,64.135,ambient
Anchor,Novo Amor,75,257533,False,0.457,0.407,9,-11.475,1,0.0308,0.805,0.884,0.126,0.126,117.053,ambient
Each Time You Fall in Love,Cigarettes After Sex,65,290630,False,0.378,0.533,10,-8.843,1,0.0279,0.479,0.508,0.131,0.285,75.927,ambient
Naav (Chadhti Lehrein Laang Na Paye),Mohan,43,252158,False,0.608,0.687,2,-7.083,1,0.0536,0.449,2.1e-06,0.0625,0.548,83.918,ambient
Starry Eyes,Cigarettes After Sex,62,206000,False,0.419,0.362,2,-15.32,1,0.0337,0.453,0.335,0.0687,0.114,100.264,ambient
John Wayne,Cigarettes After Sex,65,258483,False,0.441,0.465,3,-8.389,1,0.0291,0.343,0.884,0.0982,0.173,123.933,ambient
Don't Let Me Go,Cigarettes After Sex,64,262560,False,0.414,0.369,6,-9.606,1,0.0262,0.453,0.501,0.0985,0.17,96.722,ambient
Neon Moon,Cigarettes After Sex,63,225767,False,0.269,0.489,4,-11.099,1,0.0303,0.0972,0.0935,0.102,0.277,180.247,ambient
Sesame Syrup,Cigarettes After Sex,62,303296,False,0.426,0.413,4,-11.378,1,0.0248,0.0412,0.381,0.107,0.349,93.636,ambient
Repeat Until Death,Novo Amor,69,234080,False,0.233,0.15,1,-11.736,1,0.0336,0.982,0.36,0.154,0.0875,143.887,ambient
Keep Me,Novo Amor,69,194560,False,0.567,0.131,1,-14.124,1,0.029,0.888,0.0553,0.158,0.0657,104.784,ambient
Weightless,Marconi Union,68,480106,False,0.139,0.22,2,-19.974,0,0.0324,0.856,0.831,0.17,0.0789,71.432,ambient
You Are Enough,Sleeping At Last,73,180086,False,0.593,0.5,1,-8.532,1,0.029,0.707,1.24e-05,0.0837,0.465,117.996,ambient
Already Gone,Sleeping At Last,69,243007,False,0.418,0.248,3,-9.997,1,0.0451,0.954,4.21e-06,0.108,0.298,130.953,ambient
Dheera Dheera,Mohan;Ananya Bhat;Santhosh Venky;Sachin Basrur;H. Shreenivas Moorthi;Puneeth Rudranag;Vijy Aurs,50,222427,False,0.483,0.886,4,-7.279,0,0.103,0.427,2.84e-05,0.114,0.235,124.795,ambient
Nuvole Bianche,Ludovico Einaudi,73,357706,False,0.191,0.0582,8,-25.398,1,0.0578,0.961,0.89,0.0941,0.0454,132.614,ambient
Atlas,Bicep,1,348306,False,0.545,0.792,3,-6.395,0,0.032,0.1,0.952,0.173,0.127,128.977,ambient
Written on the Sky,Max Richter;Johannes Bornlöf,0,116550,False,0.346,0.122,1,-26.341,1,0.0554,0.992,0.927,0.144,0.183,109.94,ambient
"Where We Belong - From ""Hostiles"" Soundtrack",Max Richter;Air Lyndhurst Orchestra,0,175997,False,0.181,0.135,9,-17.393,0,0.0394,0.28,0.888,0.12,0.0307,67.438,ambient
Primavera,Ludovico Einaudi;Robert Ziegler;Royal Philharmonic Orchestra,0,442400,False,0.23,0.206,0,-13.594,0,0.0348,0.965,0.856,0.17,0.134,139.114,ambient
Soffia la notte,Fabrizio Paterlini;Johannes Bornlöf,0,220956,False,0.225,0.117,4,-24.971,0,0.0488,0.968,0.867,0.103,0.275,160.017,ambient
November,Max Richter;Mari Samuelsen;Konzerthausorchester Berlin;Jonathan Stockhammer,0,368098,False,0.425,0.47,0,-10.452,1,0.0494,0.531,0.168,0.1,0.126,120.092,ambient
Signals - Remastered 2005,Brian Eno,0,166560,False,0.192,0.0119,6,-41.808,1,0.0401,0.969,0.944,0.12,0.0753,69.045,ambient
"Recomposed By Max Richter: Vivaldi, The Four Seasons: Winter 2 - 2012",Max Richter;Daniel Hope;Konzerthaus Kammerorchester Berlin;Andre de Ridder,0,171266,False,0.166,0.0577,8,-27.78,1,0.049,0.901,0.449,0.391,0.0764,140.099,ambient
"Recomposed By Max Richter: Vivaldi, The Four Seasons: Spring 1 - 2012",Max Richter;Daniel Hope;Konzerthaus Kammerorchester Berlin;Andre de Ridder,0,155135,False,0.687,0.342,1,-12.378,0,0.0409,0.523,0.93,0.35,0.169,105.318,ambient
"Recomposed By Max Richter: Vivaldi, The Four Seasons: Winter 2 - 2012",Max Richter;Daniel Hope;Konzerthaus Kammerorchester Berlin;Andre de Ridder,0,171266,False,0.166,0.0577,8,-27.78,1,0.049,0.901,0.449,0.391,0.0764,140.099,ambient
"Recomposed By Max Richter: Vivaldi, The Four Seasons: Winter 2 - 2012",Max Richter;Daniel Hope;Konzerthaus Kammerorchester Berlin;Andre de Ridder,0,171266,False,0.166,0.0577,8,-27.78,1,0.049,0.901,0.449,0.391,0.0764,140.099,ambient
"Recomposed By Max Richter: Vivaldi, The Four Seasons: Winter 3 - 2012",Max Richter;Daniel Hope;Konzerthaus Kammerorchester Berlin;Andre de Ridder,0,279093,False,0.469,0.259,5,-15.335,0,0.0376,0.246,0.872,0.319,0.0373,110.601,ambient
"Recomposed By Max Richter: Vivaldi, The Four Seasons: Winter 3 - 2012",Max Richter;Daniel Hope;Konzerthaus Kammerorchester Berlin;Andre de Ridder,0,279093,False,0.469,0.259,5,-15.335,0,0.0376,0.246,0.872,0.319,0.0373,110.601,ambient
"Recomposed By Max Richter: Vivaldi, The Four Seasons: Winter 3 - 2012",Max Richter;Daniel Hope;Konzerthaus Kammerorchester Berlin;Andre de Ridder,0,279093,False,0.469,0.259,5,-15.335,0,0.0376,0.246,0.872,0.319,0.0373,110.601,ambient
Test & Recognise - Flume Re-work,Seekae;Flume,70,303660,False,0.544,0.579,8,-8.52,1,0.0712,0.193,1.43e-05,0.117,0.294,109.769,ambient
Glue,Bicep,74,269149,False,0.853,0.798,4,-7.995,0,0.068,0.0158,0.948,0.0967,0.42,129.983,ambient
Weather,Novo Amor,62,232026,False,0.527,0.242,6,-13.546,1,0.0313,0.939,0.0435,0.114,0.112,143.848,ambient
Call Me Joker,Hildur Guðnadóttir,46,288800,False,0.199,0.319,2,-14.43,1,0.0334,0.00513,0.893,0.144,0.0462,120.772,ambient
Young & Dumb,Cigarettes After Sex,59,273896,False,0.403,0.521,0,-8.842,1,0.028,0.507,0.7,0.105,0.231,97.053,ambient
I'm a Firefighter,Cigarettes After Sex,61,271018,False,0.361,0.3,7,-13.657,1,0.0335,0.483,0.0303,0.158,0.125,114.941,ambient
Flash,Cigarettes After Sex,60,274576,False,0.561,0.367,0,-10.35,0,0.0246,0.373,0.831,0.0989,0.125,73.993,ambient
Truly,Cigarettes After Sex,59,244110,False,0.449,0.383,4,-9.808,1,0.0278,0.145,0.565,0.0846,0.311,96.549,ambient
You're the Only Good Thing In My Life,Cigarettes After Sex,59,275186,True,0.454,0.287,5,-11.202,1,0.0289,0.779,0.753,0.131,0.054,130.637,ambient
Touch,Sleeping At Last,71,256299,False,0.415,0.104,0,-11.83,1,0.0426,0.955,3.79e-06,0.104,0.18,82.006,ambient
Candles,Jon Hopkins,54,148546,False,0.298,0.148,3,-26.245,0,0.0438,0.868,0.843,0.11,0.0603,108.658,ambient
Opera House,Cigarettes After Sex,60,365150,False,0.361,0.291,5,-14.148,1,0.0338,0.722,0.837,0.0971,0.0708,115.999,ambient
Experience,Ludovico Einaudi;Daniel Hope;I Virtuosi Italiani,53,312853,False,0.457,0.474,2,-9.245,1,0.0324,0.93,0.956,0.0679,0.0381,92.404,ambient
From Gold,Novo Amor,62,214335,False,0.392,0.433,5,-13.313,1,0.0364,0.92,0.646,0.0937,0.0432,100.253,ambient
Poison Tree,Grouper,69,196893,False,0.224,0.139,11,-22.587,1,0.0354,0.961,0.913,0.108,0.213,111.316,ambient
Una Mattina,Ludovico Einaudi,70,203800,False,0.231,0.0297,2,-31.544,1,0.0579,0.991,0.878,0.0742,0.07,131.413,ambient
Angela,Flower Face,58,284143,False,0.49,0.126,1,-13.868,1,0.0327,0.926,3.36e-06,0.0992,0.102,99.892,ambient
Jupiter,Flower Face,58,271487,False,0.459,0.326,9,-12.29,1,0.0268,0.896,0.0132,0.112,0.0864,90.042,ambient
Goodness of God,Bethel Music;Jenn Johnson,61,456480,False,0.37,0.119,6,-11.513,1,0.0392,0.953,1.97e-06,0.099,0.183,110.424,ambient
Haven (from Life Is Strange),Novo Amor,67,172500,False,0.556,0.261,4,-11.668,1,0.0289,0.797,0.016,0.0893,0.219,110.841,ambient
Cornflower Blue,Flower Face,57,188864,False,0.177,0.215,3,-9.886,1,0.0335,0.807,0.000125,0.0921,0.0415,75.862,ambient
Back to You,Flower Face,59,202827,False,0.389,0.202,2,-15.121,1,0.0375,0.887,2.86e-06,0.128,0.187,83.019,ambient
Saturn,Sleeping At Last,68,289792,False,0.263,0.237,3,-13.738,1,0.0344,0.638,0.305,0.109,0.0461,73.024,ambient
Varraaru Vaarraaru Yaaru Varraaru,Mohan;Murali;Chandiran,35,299626,False,0.689,0.757,10,-8.344,1,0.761,0.703,0.0,0.336,0.663,143.07,ambient
Colourway,Novo Amor,60,228164,False,0.261,0.371,3,-10.112,1,0.0313,0.96,0.856,0.109,0.149,158.924,ambient
"Comptine d'un autre été, l'après-midi",Yann Tiersen,73,140733,False,0.483,0.192,4,-15.378,0,0.0469,0.991,0.908,0.106,0.0542,100.848,ambient
Goodness of God - Live,Bethel Music;Jenn Johnson,66,296400,False,0.466,0.67,8,-4.701,1,0.0297,0.155,0.0,0.145,0.395,126.142,ambient
On the Nature of Daylight,Max Richter;Louisa Fuller;Natalia Bonner;John Metcalfe;Philip Sheppard;Chris Worsey,65,371746,False,0.065,0.341,10,-12.743,0,0.0482,0.154,0.854,0.109,0.0334,65.38,ambient
Nuvole Bianche,Ludovico Einaudi;Ana & Sven,0,320000,False,0.317,0.161,8,-17.203,1,0.0374,0.916,0.881,0.0979,0.0545,118.162,ambient
Divenire,Ludovico Einaudi;Robert Ziegler;Royal Philharmonic Orchestra,58,402240,False,0.14,0.217,7,-15.304,1,0.0352,0.909,0.855,0.0689,0.078,88.381,ambient
when the party's over - Slowed Remix,Chad Lawson,0,234280,False,0.409,0.0191,2,-31.753,1,0.0324,0.992,0.912,0.0981,0.181,104.164,ambient
What Gently Flutters,Dustin O'Halloran;Bryan Senti,0,128048,False,0.302,0.096,2,-28.927,0,0.0309,0.972,0.903,0.098,0.382,94.275,ambient
"Sinfonia (After Bach, BWV 248)",Joep Beving,0,280500,False,0.485,0.0293,4,-30.251,0,0.031,0.991,0.902,0.0964,0.0423,80.014,ambient
Ambre,Nils Frahm;Johannes Bornlöf,0,235825,False,0.365,0.0289,1,-27.855,1,0.0419,0.995,0.947,0.12,0.477,146.853,ambient
What Gently Flutters,Dustin O'Halloran;Bryan Senti,0,128048,False,0.302,0.096,2,-28.927,0,0.0309,0.972,0.903,0.098,0.382,94.275,ambient
Merry Christmas Mr. Lawrence (Arr. for Piano),Ryuichi Sakamoto;Lang Lang,0,336200,False,0.403,0.185,10,-20.519,0,0.0417,0.962,0.911,0.0958,0.162,104.517,ambient
"Sinfonia (After Bach, BWV 248)",Joep Beving,0,280500,False,0.485,0.0293,4,-30.251,0,0.031,0.991,0.902,0.0964,0.0423,80.014,ambient
"Heptapod B - From ""Arrival"" Soundtrack",Jóhann Jóhannsson;Joan La Barbara,0,222084,False,0.561,0.445,10,-16.71,0,0.0579,0.784,0.87,0.0918,0.0519,125.695,ambient
"Sinfonia (After Bach, BWV 248)",Joep Beving,0,280500,False,0.485,0.0293,4,-30.251,0,0.031,0.991,0.902,0.0964,0.0423,80.014,ambient
Piano Trio No. 2 in E Minor: I. Andante – Moderato,Dmitri Shostakovich;Ares Trio,2,490327,False,0.318,0.0361,4,-21.792,0,0.0445,0.907,0.0302,0.0926,0.0625,99.889,ambient
Piano Trio No. 2 in E Minor: III. Largo,Dmitri Shostakovich;Ares Trio,1,378378,False,0.0819,0.0132,0,-25.217,1,0.0494,0.964,0.647,0.12,0.032,82.637,ambient
"First Encounter - From ""Arrival"" Soundtrack",Jóhann Jóhannsson,0,289548,False,0.186,0.00432,7,-20.811,1,0.0366,0.926,0.963,0.0952,0.0286,57.23,ambient
"First Encounter - From ""Arrival"" Soundtrack",Jóhann Jóhannsson,0,289548,False,0.186,0.00432,7,-20.811,1,0.0366,0.926,0.963,0.0952,0.0286,57.23,ambient
Wrecking Ball - Solo Piano Version,Stephan Moccio,0,204560,False,0.515,0.0695,5,-22.837,1,0.0342,0.992,0.934,0.0943,0.109,112.81,ambient
Piano Trio No. 2 in E Minor: II. Allegro con brio,Dmitri Shostakovich;Ares Trio,2,177013,False,0.442,0.286,1,-16.598,1,0.0419,0.968,0.811,0.0886,0.629,146.761,ambient
Piano Trio No. 2 in E Minor: IV. Allegretto – Adagio,Dmitri Shostakovich;Ares Trio,2,645210,False,0.287,0.19,6,-16.959,0,0.0379,0.941,0.369,0.0906,0.177,77.583,ambient
Echorus,Philip Glass;Daniel Hope;Chie Peters;Deutsches Kammerorchester Berlin;Rundfunkchor Berlin,0,351466,False,0.285,0.0158,0,-24.312,1,0.0483,0.947,0.466,0.126,0.0369,119.852,ambient
Glassworks: Opening,Philip Glass;Víkingur Ólafsson,0,464453,False,0.0713,0.00696,3,-39.507,1,0.0405,0.994,0.915,0.071,0.0977,213.848,ambient
"24 Preludes, Op. 34: No. 14 in E-Flat Minor (Arr. L. Stokowski for Orchestra) [Live]",Dmitri Shostakovich;Byron Nelson High School Symphony Orchestra;Gary Keller,2,186400,False,0.168,0.0442,11,-18.784,1,0.0371,0.908,0.914,0.694,0.0384,74.591,ambient
Music in similar motion,Philip Glass;Erwan Keravec,0,635790,False,0.117,0.297,7,-12.742,0,0.035,0.133,0.924,0.0949,0.0617,94.85,ambient
"Goodbye - Theme from Dark, a Netflix Original Series",Apparat,40,256786,False,0.483,0.456,1,-14.013,0,0.0439,0.396,0.571,0.301,0.183,87.154,ambient
Gangtey,aswekeepsearching,33,137765,False,0.182,0.242,2,-16.755,1,0.0442,0.922,0.872,0.101,0.074,114.671,ambient
Glued,aswekeepsearching,33,257180,False,0.325,0.349,2,-21.23,1,0.0555,0.871,0.886,0.0851,0.0394,179.966,ambient
Rooh,aswekeepsearching,31,250810,False,0.537,0.69,1,-8.29,1,0.04,0.0504,0.0185,0.109,0.205,120.035,ambient
Cold,Novo Amor,59,263045,False,0.411,0.304,3,-11.311,1,0.0344,0.791,0.383,0.0896,0.0393,67.552,ambient
Holland,Novo Amor,60,159877,False,0.496,0.174,1,-11.908,1,0.0372,0.907,0.0721,0.114,0.0903,137.993,ambient
Khanabadosh,Mohan,32,279475,False,0.734,0.867,11,-5.632,0,0.0456,0.0968,0.0,0.1,0.962,131.947,ambient
Chalkboard,Jóhann Jóhannsson,62,65040,False,0.432,0.109,9,-15.925,0,0.0368,0.889,0.772,0.0939,0.0797,92.682,ambient
Hentai,Cigarettes After Sex,57,285146,False,0.453,0.227,5,-12.418,0,0.0285,0.712,0.468,0.108,0.161,125.984,ambient
Where Is My Mind,Maxence Cyrin,64,165160,False,0.333,0.114,9,-21.255,1,0.0453,0.906,0.96,0.119,0.0566,141.839,ambient
Two,Sleeping At Last,60,258609,False,0.504,0.327,4,-9.49,1,0.0367,0.902,7.63e-06,0.445,0.299,132.803,ambient
Alps,Novo Amor;Ed Tullett;Lowswimmer,61,194160,False,0.354,0.311,3,-10.377,1,0.0321,0.965,0.0315,0.204,0.135,146.631,ambient
Embody Me,Novo Amor,61,190293,False,0.476,0.263,0,-12.036,1,0.0321,0.935,0.00179,0.091,0.147,121.107,ambient
Euphor,Novo Amor;Ed Tullett;Lowswimmer,66,243466,False,0.296,0.284,10,-14.01,0,0.033,0.968,0.189,0.0961,0.0917,114.786,ambient
I Just Want You - From 'Castle',Mercuzio Pianist,56,95033,False,0.699,0.18,4,-22.361,0,0.0731,0.99,0.836,0.0649,0.268,129.775,ambient
The Last of Us,Gustavo Santaolalla,61,183533,False,0.574,0.468,4,-12.392,0,0.0305,0.867,0.928,0.098,0.352,154.626,ambient
Pure,Cigarettes After Sex,55,254626,False,0.537,0.211,6,-13.477,0,0.0312,0.557,0.804,0.101,0.0399,134.475,ambient
Clearly,Roger Eno;Scoring Berlin,53,149976,False,0.336,0.052,3,-25.364,1,0.0283,0.952,0.955,0.0695,0.0366,62.748,ambient
Fracture,Stephan Moccio,69,207640,False,0.324,0.0186,2,-28.248,1,0.0476,0.99,0.934,0.105,0.126,85.297,ambient
Emerald and Stone,Brian Eno;Jon Hopkins;Leo Abrahams,56,132306,False,0.324,0.0379,11,-25.247,1,0.0554,0.987,0.907,0.0756,0.0383,120.169,ambient
Hearing,Sleeping At Last,65,248635,False,0.207,0.292,7,-11.641,1,0.0328,0.818,0.942,0.0934,0.11,141.869,ambient
Pisces Moon,Flower Face,51,219004,False,0.525,0.411,1,-8.829,1,0.0261,0.671,0.000338,0.0989,0.197,138.112,ambient
The Theory of Everything,Jóhann Jóhannsson,64,68691,False,0.421,0.118,2,-17.703,1,0.0408,0.842,0.938,0.115,0.175,104.03,ambient
Decimal,Novo Amor,61,178626,False,0.577,0.434,7,-8.437,1,0.0303,0.887,0.215,0.0822,0.321,79.497,ambient
Chasing Cars,Sleeping At Last,62,242564,False,0.467,0.157,11,-9.649,1,0.0336,0.974,1.46e-06,0.0816,0.277,108.13,ambient
Spring 1 - 2012,Max Richter;Daniel Hope;Konzerthaus Kammerorchester Berlin;Andre de Ridder,65,151506,False,0.701,0.341,1,-12.26,0,0.0418,0.499,0.903,0.359,0.163,105.513,ambient
Spiracle,Flower Face,57,179815,False,0.342,0.612,11,-6.432,1,0.0357,0.804,3.11e-06,0.239,0.24,79.01,ambient
King of My Heart - Live,Bethel Music;Steffany Gretzinger,63,299365,False,0.438,0.529,9,-9.224,1,0.0324,0.0113,0.0,0.109,0.395,136.147,ambient
Wind Song,Ludovico Einaudi,65,198649,False,0.339,0.00572,11,-32.309,0,0.0378,0.986,0.923,0.103,0.0616,72.7,ambient
Rue des trois frères,Fabrizio Paterlini,65,111442,False,0.348,0.169,1,-18.45,1,0.0413,0.959,0.889,0.1,0.107,138.877,ambient
It Is Well - Live,Bethel Music;Kristene DiMarco,62,385053,False,0.35,0.25,4,-10.648,0,0.0314,0.698,1.46e-05,0.11,0.11,129.82,ambient
The Departure,Max Richter;Lang Lang,64,151506,False,0.0,0.0362,0,-22.519,0,0.0,0.994,0.94,0.0958,0.0,0.0,ambient
Primavera,Ludovico Einaudi;Robert Ziegler;Royal Philharmonic Orchestra,62,442400,False,0.231,0.206,0,-13.593,0,0.0332,0.965,0.856,0.17,0.136,141.628,ambient
No Longer Slaves (Spontaneous) - Live,Bethel Music;Jonathan David Helser;Melissa Helser,62,373691,False,0.412,0.61,10,-7.988,1,0.0379,0.177,0.000102,0.0851,0.242,148.005,ambient
Raise a Hallelujah - Live,Bethel Music;Jonathan David Helser;Melissa Helser,63,470880,False,0.452,0.866,1,-4.431,1,0.04,0.0041,0.0,0.134,0.291,81.972,ambient
dark tree,Carlos Cipa,0,393958,False,0.123,0.113,0,-20.961,0,0.0367,0.972,0.926,0.0752,0.0378,79.66,ambient
Indian Yellow,Ludovico Einaudi,61,194789,False,0.263,0.009,2,-35.193,1,0.0515,0.995,0.946,0.0881,0.156,68.083,ambient
What Gently Flutters,Dustin O'Halloran;Bryan Senti,0,128048,False,0.302,0.096,2,-28.927,0,0.0309,0.972,0.903,0.098,0.382,94.275,ambient
"Toujours, jamais - From Les Demoiselles de Rochefort / The Young girls of Rochefort",Akira Kosemura,0,152452,False,0.453,0.0939,0,-17.53,1,0.0336,0.989,0.885,0.102,0.113,89.665,ambient
Mer de velours,Maxence Cyrin,0,214960,False,0.347,0.232,8,-21.254,1,0.055,0.984,0.916,0.105,0.0373,128.317,ambient
What Gently Flutters,Dustin O'Halloran;Bryan Senti,0,128048,False,0.302,0.096,2,-28.927,0,0.0309,0.972,0.903,0.098,0.382,94.275,ambient
Hymn,Luke Howard;Brett Kelly,0,343724,False,0.14,0.125,1,-16.519,1,0.041,0.86,0.875,0.112,0.0362,140.811,ambient
Con Moto,Hania Rani;Dobrawa Czocher,0,304230,False,0.494,0.366,7,-21.035,0,0.0292,0.939,0.831,0.0882,0.613,145.047,ambient
Dappled Light,Luke Howard;Jess Gillam;Jess Gillam Ensemble,0,251573,False,0.222,0.0456,10,-20.891,0,0.0385,0.993,0.964,0.231,0.0882,128.691,ambient
Jezus Malusieńki (Reworked by Hania Rani & Dobrawa Czocher),Hania Rani;Dobrawa Czocher,0,256644,False,0.296,0.168,7,-21.006,0,0.0349,0.782,0.934,0.136,0.074,73.466,ambient
Jezus Malusieńki (Reworked by Hania Rani & Dobrawa Czocher),Hania Rani;Dobrawa Czocher,0,256644,False,0.296,0.168,7,-21.006,0,0.0349,0.782,0.934,0.136,0.074,73.466,ambient
There Will Be Hope,Hania Rani;Dobrawa Czocher,0,277334,False,0.27,0.211,2,-20.438,0,0.0363,0.971,0.868,0.083,0.103,98.917,ambient
Jezus Malusieńki (Reworked by Hania Rani & Dobrawa Czocher),Hania Rani;Dobrawa Czocher,0,256644,False,0.296,0.168,7,-21.006,0,0.0349,0.782,0.934,0.136,0.074,73.466,ambient
Gogol,Chilly Gonzales;Johannes Bornlöf,0,117482,False,0.382,0.014,7,-27.667,0,0.0444,0.99,0.935,0.107,0.349,162.072,ambient
White Keys,Chilly Gonzales;Johannes Bornlöf,0,181055,False,0.338,0.0568,9,-27.643,0,0.0374,0.99,0.907,0.149,0.544,152.728,ambient
Apocalypse,Cigarettes After Sex,50,290146,False,0.369,0.46,5,-9.04,1,0.0274,0.0205,0.473,0.109,0.173,94.523,ambient
If You're on the Water,The Saxophones,44,240430,False,0.651,0.123,5,-13.957,1,0.029,0.947,0.103,0.109,0.115,107.044,ambient
#3,Aphex Twin,64,464293,False,0.167,0.071,6,-27.108,0,0.041,0.911,0.855,0.107,0.0613,143.315,ambient
Dreams Are Real,aswekeepsearching,29,213391,False,0.53,0.2,10,-19.456,0,0.0383,0.932,0.00174,0.113,0.123,114.909,ambient
Ronda,Christian Löffler,57,346586,False,0.794,0.307,3,-15.629,0,0.0486,0.674,0.935,0.0954,0.171,119.994,ambient
Longing,Michael Brook;Nusrat Fateh Ali Khan,32,335600,False,0.482,0.552,2,-11.779,1,0.0424,0.418,0.617,0.0728,0.0948,92.095,ambient
Epilogue,Jóhann Jóhannsson,60,108968,False,0.252,0.0875,9,-24.711,0,0.0403,0.989,0.873,0.108,0.126,135.774,ambient
Table For Two,Abel Korzeniowski,58,203466,False,0.199,0.133,10,-15.992,0,0.0379,0.914,0.868,0.278,0.0388,132.028,ambient
Lucky for You,Novo Amor;Gia Margaret,56,136000,False,0.529,0.31,10,-12.159,1,0.0388,0.928,0.514,0.102,0.73,177.972,ambient
Luminous,Ludovico Einaudi,62,283280,False,0.307,0.00229,1,-34.977,1,0.0519,0.992,0.931,0.098,0.281,67.775,ambient
Dismantle,Peter Sandberg,61,115578,False,0.399,0.136,3,-20.219,1,0.0307,0.985,0.895,0.156,0.396,100.195,ambient
Already Gone,Sleeping At Last,56,240790,False,0.447,0.206,3,-11.75,1,0.0519,0.956,4.56e-06,0.107,0.327,66.734,ambient
A Game of Croquet,Jóhann Jóhannsson,62,165572,False,0.22,0.043,4,-28.726,0,0.0438,0.975,0.402,0.062,0.11,118.456,ambient
Endrendrum Punnagai LoFi Mix,Praveen;Shankar;Srinivas;Clinton Cerejo;DJ Aftab,2,194333,False,0.565,0.56,9,-8.198,0,0.0281,0.595,0.0025,0.207,0.592,90.016,ambient
After Sunset,Project AER;WYS,48,160644,False,0.682,0.105,5,-16.983,1,0.0337,0.877,0.884,0.0896,0.258,124.027,ambient
Morning's Wings,Tony Anderson,47,154283,False,0.159,0.487,9,-13.086,0,0.0491,0.0332,0.867,0.135,0.0328,77.44,ambient
Ala,Joep Beving,64,120853,False,0.324,0.116,7,-22.841,0,0.0348,0.986,0.926,0.113,0.299,79.487,ambient
That Bird of Prey Casts a Long Shadow,Random Forest,55,189818,False,0.525,0.188,0,-19.635,1,0.0322,0.59,0.839,0.0975,0.121,110.02,ambient
Reflections,Simon Wester,41,183421,False,0.437,0.0586,2,-23.625,1,0.0339,0.974,0.902,0.111,0.0391,114.041,ambient
J'y suis jamais allé - From ''Amelie'',Mercuzio Pianist,58,63831,False,0.58,0.192,4,-24.026,0,0.0479,0.995,0.926,0.139,0.393,105.052,ambient
Monsters Theme,Jon Hopkins,48,295853,False,0.161,0.296,3,-17.388,0,0.0381,0.709,0.917,0.111,0.0795,109.055,ambient
A Model of the Universe,Jóhann Jóhannsson,62,172444,False,0.336,0.044,7,-29.255,0,0.0456,0.982,0.96,0.221,0.0666,90.243,ambient
