Unnamed: 0,track_id,Artist,Album,Track,Popularity,duration_ms,explicit,Danceability,Energy,key,Loudness,mode,speechiness,Acousticness,instrumentalness,liveness,Valence,BPM,time_signature,Genre,Year
17013,1FrNSgJjVV0uvg7bMy4HgY,F.O.O.L,Revenger,Criminals,52,250920,False,0.591,0.885,8,-5.193,1,0.0287,0.00152,0.482,0.112,0.111,109.983,4,club,2024
17014,0x5iuaeBzKEVT49lJKpRAR,Max Brhon,Cyberpunk,Cyberpunk,59,215079,False,0.529,0.979,11,-7.062,1,0.0887,0.147,0.811,0.119,0.088,110.018,4,club,2024
17015,60fAgJqxcBuUqAOZ4q2r6K,Max Brhon,Pain,Pain,47,224113,False,0.486,0.754,7,-5.932,1,0.05,0.0254,0.699,0.396,0.0854,105.113,4,club,2024
17016,3w0kbTGhBX8cvlQ7y8nPFb,Glee Cast,"Glee: The Music, The Complete Season Three",Stereo Hearts (Glee Cast Version),47,211800,False,0.62,0.698,6,-4.38,1,0.0449,0.0168,0.0,0.153,0.617,90.059,4,club,2024
17017,2odJRoZ0Bx3aHvNa8hpNrD,KLOUD,AUTONOMY,BLOOD,61,194157,False,0.497,0.825,8,-4.638,0,0.0821,0.0031,0.00496,0.0905,0.235,88.712,4,club,2024
17018,26BETKUTsxD6cX5QY1C9qz,Le Castle Vania,John Wick (Original Motion Picture Soundtrack),LED Spirals,43,58462,False,0.843,0.576,1,-6.668,1,0.158,0.00679,0.905,0.211,0.281,120.052,4,club,2024
17019,1M3Rc9seRrTowsyXhGWf1Z,dj Shawny,Get Get Down,Get Get Down,57,108448,False,0.911,0.889,8,-3.681,1,0.0872,0.0778,0.0702,0.147,0.4,150.029,4,club,2024
17020,4eRRbY3OV4AGAvAXijjt2e,Max Brhon,The Future,The Future,45,215785,False,0.578,0.953,9,-4.559,1,0.056,0.0654,0.769,0.127,0.345,109.014,4,club,2024
17021,1Mb8Ag76aENO1iiGMMak7V,Le Castle Vania,John Wick (Original Motion Picture Soundtrack),The Red Circle,45,59973,False,0.69,0.824,1,-7.529,1,0.0377,7.08e-06,0.812,0.0976,0.689,120.046,4,club,2024
17022,2nCL4jSUB2iLfySrjVTWgj,One True God,Addicted,Addicted,57,162711,False,0.725,0.868,2,-2.537,1,0.0364,0.0181,0.359,0.0687,0.0624,117.994,4,club,2024
17023,7AQyx6fF4zINWCuwVTGcx0,F.O.O.L,Revenger,Revenger,49,222562,False,0.595,0.879,2,-3.83,1,0.0347,0.00048,0.848,0.115,0.166,110.012,4,club,2024
17024,7iNN6Mv9iW9eRnaG0srOFh,Hyper,We Control,We Control,47,201360,False,0.562,0.819,2,-6.674,1,0.0432,4.13e-05,0.118,0.433,0.476,133.014,4,club,2024
17025,0nEeyKLtk5vTlbcdvgrCOH,Le Castle Vania,Payday,Infinite Ammo,48,232637,False,0.597,0.96,7,-1.94,0,0.0627,9.38e-05,0.89,0.325,0.144,127.016,4,club,2024
17026,7DvdT3OFNvVLVGfOk5HN0a,KLOUD;Fabian Mazur,AUTONOMY (REMIXES),BLOOD (Fabian Mazur Remix),52,167053,False,0.648,0.534,8,-6.286,1,0.282,0.00704,0.0551,0.0991,0.683,93.012,4,club,2024
17027,7jzaHFrYAaui2i1dGDN8Ra,KLOUD,AUTONOMY,VIRUS,55,206250,False,0.493,0.902,3,-1.467,0,0.0671,0.0391,0.0922,0.0832,0.203,96.009,4,club,2024
17028,4Ac9Vhb6uEZN3smH8z6Y7o,Owl Vision,PAIN.EXE,BL00D,57,101946,False,0.604,0.965,7,-2.812,1,0.0665,0.00077,0.802,0.0911,0.0469,113.015,4,club,2024
17029,6I7FFkcXS58luQoYLzPHi3,F.O.O.L;Power Glove,Mercenary,Mercenary,56,219818,True,0.683,0.779,9,-6.324,1,0.0546,0.0243,0.839,0.119,0.136,103.004,4,club,2024
17030,4TPzn1tHoa186Nu2wb68r0,One True God;Roniit,Emptiness,Emptiness,55,149690,False,0.494,0.746,2,-4.775,1,0.0397,0.0012,0.0291,0.106,0.0398,194.043,4,club,2024
17031,3BcEpBfEx2mOyCSJWIHSvu,Hyper,Lies,Spoiler - Original Mix,60,272000,False,0.424,0.797,5,-2.321,1,0.0577,0.000969,0.841,0.234,0.223,179.893,4,club,2024
17032,2Igc5kWSzeztCCZInea9Mf,Glee Cast,"Glee: The Music, The Complete Season Four",Teenage Dream - Acoustic,54,225346,False,0.493,0.362,2,-9.56,1,0.0385,0.738,0.0,0.0966,0.65,129.657,4,club,2024
17033,1YVPBX1nfpWOlp6rSrg0C4,Lucille Croft,Control,Control,53,177600,False,0.702,0.842,1,-3.992,1,0.0506,0.0121,0.108,0.157,0.533,99.969,4,club,2024
17034,6L80YrRsEDdPOe5ObjF1UL,dj Shawny;IShowSpeed,"Shake, Pt. 2 (Slowed + Reverb)",Get Get Down - Slowed + Reverb,50,139293,False,0.931,0.624,8,-6.259,1,0.107,0.121,0.00268,0.177,0.0426,119.988,4,club,2024
17035,5pL19PkLA1LFMaHvrYlBYU,Le Castle Vania,"Freak (The Otherside Series, Vol.2)","Freak (The Otherside Series, Vol.2)",52,171743,True,0.687,0.974,11,-2.343,1,0.0344,0.000464,0.373,0.0945,0.325,108.974,4,club,2024
17036,2mP53Cu7tiHQ9ImEexoLdy,dj Shawny;IShowSpeed,"Shake, Pt. 2 (Sped Up Version)",Get Get Down - Sped Up Version,52,97779,False,0.875,0.879,5,-10.781,1,0.0817,0.0885,0.644,0.23,0.444,165.533,4,club,2024
17037,1eG6ogBMDCT36ciEocKV8V,Lucille Croft,Seduce / Destroy,Seduce / Destroy,52,182857,False,0.625,0.808,8,-3.321,1,0.0333,0.000478,0.28,0.163,0.27,105.005,4,club,2024
17038,06ANCcAnZnK0x1KGmodioE,Absolute Valentine,Police Heartbreaker,In the 42nd Street,56,140347,False,0.567,0.79,0,-6.51,1,0.0996,0.252,0.908,0.105,0.639,180.06,4,club,2024
17039,0wEhUkwFAAahFN2OITEy4q,One True God,Kill Me With Your Love,Kill Me With Your Love,51,174736,False,0.754,0.701,10,-6.252,0,0.0398,0.192,0.364,0.0709,0.306,114.019,4,club,2024
17040,0PxE0HRS9Iddrc2ZZVmL2B,dj Shawny,Back It Up (Blick Cypher),Back It Up (Blick Cypher),27,65567,False,0.77,0.398,11,-12.815,1,0.165,0.0257,0.577,0.0753,0.287,175.175,4,club,2024
17041,7qekEQyGFRim7qNhxzkaLo,Glee Cast;Darren Criss,Glee: The Music presents The Warblers,Somewhere Only We Know (feat. Darren Criss),65,184653,False,0.494,0.556,7,-6.348,1,0.0257,0.433,0.0,0.0969,0.325,85.986,4,club,2024
17042,6ZPuQzivx212dWhy688ain,Swan Meat,PERFECT CHERRY BLOSSOM,PERFECT CHERRY BLOSSOM,47,276000,False,0.559,0.979,6,-2.968,1,0.0523,0.0287,0.763,0.105,0.458,95.018,4,club,2024
17043,4KLp7sKY2YCzaSQelZZjZr,Glee Cast;Jonathan Groff,"Glee: The Music, Volume 3 Showstoppers",Total Eclipse Of The Heart (Glee Cast Version) (feat. Jonathan Groff),56,264493,False,0.513,0.662,8,-6.058,1,0.0293,0.195,0.0,0.101,0.261,134.128,4,club,2024
17044,2M4gBVSuTLI1GIcM9vL6DH,One True God,Move Slow,Move Slow,52,141600,False,0.807,0.794,7,-4.902,0,0.112,0.142,0.862,0.0993,0.295,99.979,4,club,2024
17045,2M0627dznvRUfgc6jp7cst,Glee Cast,Glee Love Songs,Stereo Hearts (Glee Cast Version),58,211800,False,0.62,0.698,6,-4.38,1,0.0449,0.0168,0.0,0.153,0.617,90.059,4,club,2024
17046,4YqaTJsKcZ79EoJIsvYZbM,dj Shawny;IShowSpeed,"Shake, Pt. 2 (Sped Up Version)","Shake, Pt. 2 (Get Get Down) - Sped Up Version",57,97605,True,0.657,0.904,5,-3.469,1,0.289,0.18,0.0,0.251,0.669,167.936,4,club,2024
17047,6xY7r8duYr3rMioEXm0daL,Glee Cast,"Glee: The Music, The Complete Season Four",Hall Of Fame (Glee Cast Version),47,198906,False,0.421,0.813,10,-5.427,1,0.0424,0.0535,0.0,0.283,0.635,169.895,4,club,2024
17048,2OuCkfX39Geg49wLwjsQ9z,Linn da Quebrada;Liniker;Urias;Alice Guél;Jup do Bairro;Danna Lisboa;Ventura Profana;Verónica Decide Morrer,Oração,Oração,37,239669,False,0.621,0.273,0,-8.607,1,0.0325,0.811,1e-05,0.0841,0.146,127.044,4,club,2024
17049,1CWkb6uHs2tZnSOtR1mi6z,Linn da Quebrada,Trava Línguas,amor amor,41,144837,False,0.543,0.63,5,-8.236,0,0.319,0.674,5.96e-06,0.293,0.565,203.688,4,club,2024
17050,5H0kIgpWNZm9HF6VkU4dow,Gesaffelstein;Pharrell Williams,Hyperion,Blast Off (feat. Pharrell Williams),43,235200,False,0.628,0.498,6,-12.803,1,0.0522,0.241,0.027,0.0579,0.138,99.978,4,club,2024
17051,4C7j2x6EiKygp7V1LjINCO,DJ Flex;Kyle Edwards,Controlla Anthem,Controlla Anthem,39,110210,True,0.904,0.871,8,-8.588,1,0.403,0.00645,5.21e-06,0.0697,0.346,144.993,4,club,2024
17052,5OO8xKi2eig03aOhJRxn3N,Kyle Edwards;DJ Smallz 732,"Warning, Vol. 2",Somebody,29,144091,False,0.932,0.58,1,-11.198,1,0.0633,0.156,0.696,0.143,0.373,139.995,4,club,2024
17053,08WLYptwEeNak4i7S32gh7,KLOUD;Gabriel Paris,LOVE ME,LOVE ME,50,204705,False,0.587,0.902,8,-2.506,1,0.049,0.0336,0.000112,0.1,0.0878,102.029,4,club,2024
17054,4J8yNRPLsdfO1jFgt1ZM5u,Corvad,Prime,Tesla,49,326869,False,0.576,0.935,7,-6.092,1,0.0623,0.000908,0.869,0.623,0.169,104.964,4,club,2024
17055,5vJ8wLhKQUsIAmm9kz0PRL,DJ Envy;Fetty Wap;DJ Sliink,Text Ur Number (feat. DJ Sliink & Fetty Wap),Text Ur Number (feat. DJ Sliink & Fetty Wap),19,242134,False,0.691,0.782,8,-5.365,1,0.0561,0.0211,1.88e-05,0.406,0.741,139.946,4,club,2024
17056,2O5nA2P316C0HP4j0MfpWx,ZABO,Blasphemy,Blasphemy,25,208000,False,0.779,0.629,6,-4.832,1,0.527,0.0944,0.34,0.113,0.285,90.014,4,club,2024
17057,4Gd6yYZtA0U0fQbphXZGWI,Gesaffelstein,Conspiracy Pt.2,Viol,51,343878,False,0.597,0.84,7,-6.964,1,0.0377,7.65e-05,0.828,0.55,0.201,108.993,4,club,2024
17058,11hQpTbTymxIZzSmabCd9b,Max Brhon,Redemption,Redemption,44,245529,False,0.49,0.741,5,-6.601,0,0.0561,0.000887,0.189,0.0787,0.0793,105.057,4,club,2024
17059,2jJIxT6WAIVWzDo3Ou53Q0,Gesaffelstein,Aleph,Pursuit,51,247603,False,0.682,0.934,7,-4.822,1,0.0741,0.0619,0.926,0.106,0.0708,108.982,3,club,2024
17060,5iFaTYNw5IN3Ri2KBsH2LV,dj Shawny,Bombs Away (Throwback Cypher),Bombs Away (Throwback Cypher),58,77583,False,0.714,0.389,1,-6.689,1,0.0385,0.00179,0.56,0.178,0.702,92.526,4,club,2024
17061,1jIIA2V3HUuFGPrKCwqEwQ,Head Splitter,VALORANT (Theme Remake),VALORANT - Theme Remake,40,165333,False,0.645,0.878,2,-4.358,1,0.0369,0.0614,0.856,0.234,0.21,90.037,4,club,2024
17062,1l06BAA8vssAu35vqKlzcl,KLOUD,SYNTHESIZE,SYNTHESIZE,43,151111,True,0.605,0.768,2,-4.939,1,0.0325,0.155,0.0,0.0846,0.0736,108.07,4,club,2024
17063,6NkpHVmPu6mNSSE0fK8aKL,Max Brhon,Illusion,Illusion,40,227139,False,0.575,0.856,0,-4.804,1,0.121,0.00591,0.731,0.169,0.0736,108.969,4,club,2024
17064,6fWFFBD6VM5xEHpQUFhLe1,F.O.O.L,MENTAL STATE,MENTAL STATE,49,249454,False,0.501,0.903,4,-3.894,0,0.0433,0.000363,0.692,0.106,0.0662,165.082,4,club,2024
17065,0qetfWOgsiLK4QiXDpURW3,Le Castle Vania,John Wick (Original Motion Picture Soundtrack),The Drowning,37,144106,False,0.572,0.862,5,-4.513,0,0.0329,3.4e-06,0.877,0.0829,0.484,149.998,4,club,2024
17066,53i0NQW6ytb5gPheBhRKZA,Head Splitter,"Cyberpunk 2077 Fanmade Soundtrack, Vol. I",Welcome to Night City,50,240039,False,0.347,0.478,8,-10.341,1,0.0406,0.0401,0.748,0.111,0.031,199.964,4,club,2024
17067,6w9zusNDxi0gmcH6FrHRtE,Hyper,Cyberpunk EP,FCKD,53,206400,False,0.327,0.853,2,-3.68,1,0.0568,0.00175,0.235,0.208,0.143,99.919,4,club,2024
17068,1DOgO7ek31amB3SF2g1FVH,Infraction,Almost Evil,Almost Evil,43,247358,False,0.543,0.981,1,-2.699,0,0.0468,0.00488,0.755,0.0917,0.111,106.001,4,club,2024
17069,6UxamX8NLRrQzIb17xQ7vW,One True God;adam&steve,Devotion,Devotion,46,123966,False,0.69,0.809,8,-4.931,1,0.0375,0.4,0.285,0.118,0.0481,120.946,4,club,2024
17070,3oXyxYeCJsVMMV1Vuido4g,Infraction,Devil In a Red Dress,Devil In a Red Dress,32,204000,False,0.702,0.821,5,-4.299,0,0.0495,0.051,0.118,0.151,0.199,110.015,4,club,2024
17071,3EVROibC8utd9tGNrJvoNo,HVDES;sharks!,When I'm Alone,When I'm Alone,51,202597,False,0.593,0.632,6,-6.45,0,0.0305,0.195,0.0,0.114,0.225,77.025,4,club,2024
17072,1PpDWm6xqTir7SaNnFi7sK,KLOUD,HUMANS,HUMANS,49,242330,False,0.485,0.808,1,-5.324,1,0.0563,0.0309,0.00958,0.143,0.295,103.007,4,club,2024
17073,6rLNDssC5bnJ2l7N1aRAgu,Lucille Croft,Resonate,Resonate,48,211071,False,0.698,0.743,9,-7.804,1,0.11,0.284,0.0172,0.411,0.0442,111.993,4,club,2024
17074,0mhBepv4boH5xvn2wy6JP0,Dustycloud,Wack!,Wack! - Original Mix,52,142382,True,0.708,0.977,1,-4.018,1,0.0676,0.038,0.668,0.218,0.671,128.023,4,club,2024
17075,1hNb2eDg25jGC5rCQS1OwY,Woesum;Yung Lean,Blue Summer,Summer Rain,51,138057,True,0.662,0.717,4,-5.211,1,0.274,0.628,6.66e-06,0.427,0.689,169.853,4,club,2024
17076,5uffB0o1ruF4O5o3KOelvu,Glee Cast,Glee: The Music presents Glease,Hopelessly Devoted To You (Glee Cast Version),55,181906,False,0.61,0.53,6,-7.132,0,0.0253,0.247,0.0,0.35,0.305,110.778,3,club,2024
17077,1REX2q4Fverp8zH7KuSeZC,Glee Cast,The Quarterback,If I Die Young (Glee Cast Version),57,221773,False,0.717,0.382,4,-7.782,1,0.036,0.83,0.0,0.0986,0.358,130.843,4,club,2024
17078,2DRIlKYPYCa1SQTG14k3h5,One True God,Everytime,Everytime,48,151200,False,0.699,0.894,10,-2.648,1,0.0321,0.0222,0.117,0.0667,0.33,99.994,4,club,2024
17079,6lYZ5UWuPbXLX357pPONa7,Infraction,Control,Control,41,258678,False,0.543,0.869,2,-4.266,0,0.031,0.000132,0.715,0.226,0.0512,106.03,4,club,2024
17080,018SQDupRTRsl1Wolu1X0c,Daniel Deluxe,Magnatron,Star Eater,51,272855,False,0.577,0.555,2,-9.045,1,0.0598,0.618,0.866,0.116,0.147,189.97,3,club,2024
17081,1e4xuwzSRHr6agxwXMEg16,Tenebrax,Reflexia,Tell Me How to Love,48,214216,False,0.704,0.884,9,-4.273,1,0.0486,0.000428,0.204,0.15,0.452,105.02,4,club,2024
17082,7FEKwb52OpeVSZxaqUspP1,KLOUD;Far Out,HUMANS (Far Out Remix),HUMANS - Far Out Remix,44,285271,False,0.416,0.741,8,-6.807,0,0.0481,0.0823,0.00146,0.338,0.299,91.954,4,club,2024
17083,4Zl87UYUFG5OJNPhzMTk20,Hyper,Lies,Clockwork - Original Mix,50,276000,False,0.522,0.886,10,-6.484,0,0.058,9.49e-05,0.697,0.063,0.158,99.992,4,club,2024
17084,1wWYqFc1ElJL4bnTfvmR2z,dj Shawny;IShowSpeed,"Shake, Pt. 2 (Slowed + Reverb)","Shake, Pt. 2 (Get Get Down) - Slowed + Reverb",41,145432,True,0.702,0.401,1,-13.281,1,0.11,0.341,0.0,0.176,0.0879,120.109,4,club,2024
17085,3MLWx8r8WhUAn0WDCtiBFy,Glee Cast,Glee LGBTQIA+ Pride,I Kissed A Girl,49,179946,False,0.687,0.756,9,-3.601,0,0.0596,0.00335,0.0,0.0663,0.623,130.043,4,club,2024
17086,2HejOe2xupqJYBzExs9bN4,Noisecream,Bananas,Mist of Rage,49,175272,False,0.602,0.916,7,-6.566,1,0.251,0.000197,0.842,0.143,0.464,100.037,4,club,2024
17087,0GS0aMonIhHrD4lJLlkkOe,Kyle Edwards;DJ Smallz 732,Say It (Jersey Club),Say It (Jersey Club),30,125779,False,0.908,0.865,6,-5.992,0,0.245,0.196,0.000156,0.174,0.664,139.89,4,club,2024
17088,6GoLARmR2OZl2EldehFrsA,SOPHIE,OIL OF EVERY PEARL'S UN-INSIDES,Immaterial,53,232806,False,0.776,0.717,2,-4.897,1,0.0836,0.115,0.00755,0.327,0.828,139.995,4,club,2024
17089,4E7B45OimTovLiETRzSBly,Glee Cast;2CELLOS,"Glee: The Music, The Complete Season Three",Smooth Criminal (Glee Cast Version) (feat. 2CELLOS),55,214680,False,0.756,0.814,0,-6.111,1,0.0436,0.634,0.00068,0.161,0.905,135.045,4,club,2024
17090,4Pw5JYC3k40FQZya8w0s8A,DEADLIFE,FiXT Presents: Sinister Sounds,Boreal Nerve,3,236000,False,0.597,0.928,5,-6.102,1,0.0497,0.0543,0.911,0.096,0.0308,128.0,4,club,2024
17091,4pfxefygvuMNU3zuBP02LM,Linn da Quebrada;Liniker,Pajubá,Serei A,30,259178,False,0.75,0.828,6,-7.185,0,0.372,0.197,8.8e-05,0.253,0.301,170.025,4,club,2024
17092,6kQA1WzWswBfx9rTjC7M3N,Linn da Quebrada,Trava Línguas,cobra rasteira,30,181557,False,0.734,0.777,11,-6.194,0,0.0412,0.144,4.05e-06,0.304,0.371,113.032,4,club,2024
17093,5rMNiDunMJCTME1CDa0u6d,Linn da Quebrada,Pajubá,A Lenda,32,201450,False,0.868,0.668,7,-6.064,0,0.244,0.323,0.0,0.123,0.818,119.975,4,club,2024
17094,5ZFqJl35Kksk8BfOMia619,DJ Frosty,Ride That Wave,Ride That Wave - Original radio,28,108968,False,0.743,0.927,7,-3.876,1,0.247,0.526,1.6e-05,0.204,0.478,133.983,4,club,2024
17095,34zBuLmfKMk6MkCcBDaAfG,Linn da Quebrada,Pajubá,Coytada,31,175893,False,0.681,0.989,9,-2.722,1,0.128,0.0172,0.00806,0.811,0.455,129.992,4,club,2024
17096,2qzAQ81W0CvZqmhK8BYGLe,Glee Cast,"Glee: The Music, The Complete Season Four",Footloose (Glee Cast Version),57,227400,False,0.577,0.96,9,-3.811,1,0.0636,0.0193,9.56e-06,0.0498,0.701,173.988,4,club,2024
17097,6W0javyKuVICRsmD8DqQfI,Glee Cast,"Glee: The Music, The Complete Season Three",I Kissed A Girl,50,179946,False,0.687,0.756,9,-3.601,0,0.0596,0.00335,0.0,0.0663,0.623,130.043,4,club,2024
17098,2ag8xyS2fHx2Y27MVu1Nrk,Linn da Quebrada,Trava Línguas,medrosa - ode à Stella do Patrocínio,30,133617,False,0.464,0.31,9,-11.257,1,0.0279,0.913,0.000568,0.12,0.347,77.416,4,club,2024
17099,46D13WjTPaTwGMkLrPEhug,Linn da Quebrada,Trava Línguas,pense & dance,31,286617,False,0.783,0.764,1,-7.754,1,0.132,0.265,0.000125,0.124,0.439,130.972,4,club,2024
17100,3tw38CkaOgncThUwXO80NO,Gesaffelstein,Hyperion,Ever Now,43,98066,False,0.658,0.373,1,-12.473,1,0.0399,0.197,0.89,0.131,0.0372,107.995,4,club,2024
17101,61aw1V0KLPD4XIjqNsGqo9,Gesaffelstein;The Hacker;Electric Youth,Hyperion,Forever (feat. The Hacker & Electric Youth),42,271733,False,0.652,0.426,9,-12.596,0,0.0309,0.00453,0.033,0.0592,0.139,117.985,4,club,2024
17102,5PqLykInqe8C45DRkcIW0F,Mvntana;Jdub,Play No Games (No Guidance),Play No Games (No Guidance),16,101093,False,0.872,0.599,1,-9.701,1,0.405,0.0351,0.000413,0.34,0.631,152.086,4,club,2024
17103,2bRs25TmImvXkYlR3mQhkT,DJ Flex;Kyle Edwards,Down in the DM,Down in the DM,36,100463,True,0.839,0.584,5,-10.214,0,0.072,0.238,0.0249,0.112,0.766,152.951,4,club,2024
17104,3BBtBgwmSXmcJgbTKiB4ap,KLOUD;Odd Mob,AUTONOMY (REMIXES),VIRUS (Odd Mob Remix),54,184761,False,0.824,0.755,1,-5.272,1,0.0649,0.0141,0.0021,0.0944,0.412,125.963,4,club,2024
17105,7nyprGzLfhdp0zJfa0peji,Gesaffelstein,Aleph,Obsession,45,249373,False,0.7,0.712,8,-4.553,1,0.0397,0.00062,0.0404,0.374,0.0883,100.968,4,club,2024
17106,5Ub5SzOZ2kGwoazjnQSfdS,Gesaffelstein,Aleph,Destinations,46,216720,False,0.801,0.551,10,-11.19,0,0.208,0.189,0.67,0.315,0.19,102.014,4,club,2024
17107,7FuyeSPssuLmWG4fNNTiNa,Infraction;Aim To Head,Falling,Falling,44,182399,False,0.404,0.903,1,-3.026,1,0.0878,0.00972,0.514,0.0613,0.0954,100.061,4,club,2024
17108,5BwZzYVMsf8EEbQcD1CQp2,F.O.O.L,Highway,Highway,47,290979,False,0.506,0.717,9,-6.482,0,0.0446,0.00201,0.689,0.146,0.0726,112.991,4,club,2024
17109,4rk94uEZLJftdhnjp4Hwsx,F.O.O.L,Revenger,Conflict,41,187527,False,0.662,0.809,3,-6.583,1,0.0351,0.0306,0.875,0.115,0.114,112.009,4,club,2024
17110,2Eg5PLuDyYqZPnUHIHJjt4,ZABO;FOVOS,Roll (Remixes),Roll - FOVOS Remix,43,196363,False,0.752,0.867,2,-5.55,1,0.0442,0.111,0.848,0.148,0.169,132.009,4,club,2024
17111,535sg5Q0QFrgXvMkdznzeR,Toutant,Rebirth,Rebirth,43,199578,False,0.632,0.92,7,-4.659,1,0.0729,0.00331,0.865,0.12,0.15,94.991,4,club,2024
17112,2ZFu40Ik8VsUE9H87W0MmZ,Arca;ROSALÍA,KiCk i,KLK,57,227401,False,0.798,0.873,10,-6.732,0,0.0908,0.064,5.17e-05,0.764,0.846,98.017,4,club,2024
17113,4GOvxgkT5LwHh8ZPWbDJPm,Vondkreistan,Maniac,Authority,43,268536,False,0.645,0.784,6,-7.94,1,0.0362,0.00807,0.688,0.333,0.51,106.006,4,club,2024
17114,0hp5IJ83YpnglsrvGfIhIN,Arca,KICK ii,Rakata,60,151531,False,0.581,0.844,5,-6.64,0,0.0595,0.0855,0.0,0.224,0.546,93.963,4,club,2024
17115,5fTaC6VSUxQz0sCbbHwJkY,ZABO,Affliction,Affliction,42,199275,False,0.705,0.909,6,-2.77,0,0.0348,0.0147,0.839,0.155,0.21,99.98,4,club,2024
17116,4q0CSHFWnVajd3sMEwyH4f,SIERRA,Gone,Unbroken,48,194927,False,0.651,0.384,1,-8.27,1,0.0291,0.00404,0.869,0.0526,0.0308,113.011,4,club,2024
17117,7lPL2wD5oCwBuqBLJhCFEa,Ziggy,Ziggy Reloaded II,Look Back It (Club Mix),42,102187,True,0.768,0.805,6,-8.536,0,0.23,0.0217,0.000264,0.181,0.253,136.06,4,club,2024
17118,2636bfqhucgtVPFG1zwEQf,KLOUD,AUTONOMY,FOLLOW ME,45,297600,False,0.497,0.853,8,-3.157,1,0.0434,0.0346,0.00141,0.0968,0.0526,99.958,4,club,2024
17119,6Kr6OpOWGEyVQaE5Qipw4K,KLOUD,Satisfied (Chapter IV),Satisfied - Chapter IV,37,230400,False,0.481,0.912,0,-1.493,1,0.0414,0.0705,0.0,0.154,0.11,149.951,4,club,2024
17120,1d60khvJOU5PIUWNu35yGr,TOKYO ROSE;ZABO;Aloma Steele,Last Goodbye,Last Goodbye,39,205006,False,0.642,0.658,10,-3.443,1,0.0778,0.00409,0.00632,0.12,0.199,180.03,4,club,2024
17121,3xhVKCpKzdyKiH0gnugfj6,HORSKH,Wire,Trying More,52,117200,False,0.37,0.983,2,-4.776,1,0.186,1.1e-05,0.75,0.122,0.182,170.054,4,club,2024
17122,7I8UTLiBA1ptFm04WulwhH,Arca,KICK ii,Prada,58,163348,False,0.619,0.712,4,-6.893,0,0.0328,0.103,0.0,0.24,0.35,95.025,4,club,2024
