Track,Artist,BPM,Energy,Valence,Danceability,Acousticness,Popularity,Year
Ibiza Session Track 7,Hot Since 82,120,0.6,0.84,0.73,0.16,72,1998
Ibiza Session Track 8,MK,109,0.31,0.32,0.62,0.75,52,1995
Ibiza Session Track 9,Carl Cox,122,0.68,0.89,0.84,0.05,71,2022
Ibiza Session Track 10,Peggy Gou,129,0.93,0.49,0.73,0.01,50,2009
Ibiza Session Track 11,Black Coffee,129,0.9,0.46,0.62,0.0,59,1996
Ibiza Session Track 12,Black Coffee,103,0.48,0.32,0.51,0.71,66,2001
Ibiza Session Track 13,Marco Carola,125,0.63,0.56,0.73,0.12,41,2021
Ibiza Session Track 14,Jamie Jones,128,0.78,0.33,0.74,0.02,72,2008
Ibiza Session Track 15,Tale Of Us,98,0.46,0.47,0.58,0.33,42,2000
Ibiza Session Track 16,Solomun,124,0.9,0.72,0.68,0.0,45,2016
Ibiza Session Track 17,Peggy Gou,93,0.36,0.55,0.63,0.72,62,2007
Ibiza Session Track 18,Marco Carola,129,0.91,0.55,0.68,0.02,49,2009
Ibiza Session Track 19,Tale Of Us,94,0.34,0.42,0.59,0.47,49,2023
Ibiza Session Track 20,Hot Since 82,74,0.52,0.67,0.52,0.53,68,2012
Ibiza Session Track 21,Tale Of Us,127,0.72,0.17,0.77,0.02,62,2002
Ibiza Session Track 22,Hot Since 82,125,0.73,0.59,0.84,0.09,68,2011
Ibiza Session Track 23,Marco Carola,126,0.75,0.38,0.79,0.03,69,2003
Ibiza Session Track 24,Solomun,127,0.77,0.38,0.78,0.03,44,2012
Ibiza Session Track 25,Maceo Plex,123,0.99,0.72,0.62,0.04,62,2021
Ibiza Session Track 26,David Guetta,95,0.33,0.34,0.6,0.5,65,2001
Ibiza Session Track 27,Hot Since 82,131,0.89,0.17,0.8,0.09,57,2004
Ibiza Session Track 28,Solomun,132,0.88,0.52,0.73,0.1,62,2004
Ibiza Session Track 29,Fisher,123,0.76,0.11,0.64,0.01,80,1997
Ibiza Session Track 30,The Martinez Brothers,123,0.78,0.25,0.72,0.03,48,2010
Ibiza Session Track 31,Marco Carola,128,0.8,0.2,0.65,0.06,55,2001
Ibiza Session Track 32,Black Coffee,127,0.86,0.42,0.73,0.05,77,2021
Ibiza Session Track 33,Hot Since 82,123,0.69,0.7,0.81,0.09,51,2005
Ibiza Session Track 34,Tale Of Us,127,0.93,0.77,0.66,0.03,53,1997
Ibiza Session Track 35,Carl Cox,104,0.55,0.48,0.64,0.42,58,2018
Ibiza Session Track 36,Maceo Plex,124,0.88,0.52,0.86,0.02,47,2011
Ibiza Session Track 37,Peggy Gou,120,0.63,0.89,0.79,0.04,48,1995
Ibiza Session Track 38,Solomun,131,0.81,0.14,0.77,0.08,66,2000
Ibiza Session Track 39,Calvin Harris,121,0.61,0.75,0.77,0.18,80,2018
Ibiza Session Track 40,Peggy Gou,123,0.98,0.79,0.67,0.01,44,2002
Ibiza Session Track 41,Black Coffee,124,0.74,0.89,0.71,0.04,53,2009
Ibiza Session Track 42,Solomun,131,0.75,0.3,0.74,0.05,68,2003
Ibiza Session Track 43,David Guetta,128,0.74,0.14,0.68,0.1,79,2014
Ibiza Session Track 44,Calvin Harris,126,0.87,0.74,0.63,0.03,76,2013
Ibiza Session Track 45,Carl Cox,124,0.74,0.29,0.74,0.04,68,2008
Ibiza Session Track 46,Hot Since 82,126,0.9,0.22,0.71,0.1,41,2003
Ibiza Session Track 47,Peggy Gou,131,0.85,0.22,0.76,0.03,64,2007
Ibiza Session Track 48,Maceo Plex,103,0.38,0.42,0.57,0.37,40,2003
Ibiza Session Track 49,Black Coffee,85,0.5,0.33,0.57,0.78,45,2019
Ibiza Session Track 50,Solomun,123,0.8,0.4,0.67,0.01,74,2004
Ibiza Session Track 51,Jamie Jones,123,0.85,0.86,0.87,0.02,48,1998
Ibiza Session Track 52,Black Coffee,91,0.59,0.5,0.62,0.58,69,2021
Ibiza Session Track 53,Tale Of Us,130,0.96,0.6,0.73,0.04,43,2016
Ibiza Session Track 54,Calvin Harris,128,0.85,0.37,0.77,0.04,46,2016
Ibiza Session Track 55,Hot Since 82,123,0.88,0.64,0.79,0.14,66,2009
Ibiza Session Track 56,The Martinez Brothers,125,0.9,0.66,0.74,0.14,67,2019
Ibiza Session Track 57,Tale Of Us,125,0.92,0.42,0.65,0.04,47,1998
Ibiza Session Track 58,Hot Since 82,128,0.9,0.32,0.8,0.01,58,2022
Ibiza Session Track 59,Peggy Gou,126,0.78,0.34,0.74,0.09,51,2014
Ibiza Session Track 60,Carl Cox,125,0.71,0.33,0.79,0.04,76,2000
Ibiza Session Track 61,The Martinez Brothers,125,0.83,0.9,0.89,0.04,47,2010
Ibiza Session Track 62,Tale Of Us,128,0.94,0.59,0.71,0.0,53,2018
Ibiza Session Track 63,Tale Of Us,124,0.89,0.72,0.63,0.03,44,2000
Ibiza Session Track 64,David Guetta,129,0.79,0.34,0.8,0.05,56,2008
Ibiza Session Track 65,Carl Cox,129,0.82,0.3,0.72,0.04,64,2010
Ibiza Session Track 66,Tale Of Us,123,0.69,0.52,0.86,0.09,51,1999
Ibiza Session Track 67,Peggy Gou,125,0.94,0.5,0.7,0.0,63,2016
Ibiza Session Track 68,Solomun,126,0.74,0.38,0.76,0.08,67,1998
Ibiza Session Track 69,Fisher,122,0.69,0.64,0.79,0.05,56,2013
Ibiza Session Track 70,Peggy Gou,128,0.93,0.45,0.67,0.01,77,2009
Ibiza Session Track 71,Carl Cox,98,0.35,0.68,0.68,0.6,64,1997
Ibiza Session Track 72,The Martinez Brothers,129,0.97,0.55,0.69,0.03,76,2023
Ibiza Session Track 73,Hot Since 82,123,0.86,0.19,0.8,0.04,46,2006
Ibiza Session Track 74,Carl Cox,124,0.79,0.35,0.75,0.08,43,2015
Ibiza Session Track 75,Carl Cox,128,0.94,0.57,0.69,0.02,67,1995
Ibiza Session Track 76,Carl Cox,123,0.79,0.65,0.83,0.13,79,2022
Ibiza Session Track 77,David Guetta,121,0.88,0.52,0.71,0.15,40,2009
Ibiza Session Track 78,Peggy Gou,103,0.34,0.34,0.63,0.45,58,2018
Ibiza Session Track 79,Tale Of Us,130,0.97,0.53,0.71,0.01,70,1995
Ibiza Session Track 80,Hot Since 82,124,0.81,0.53,0.8,0.09,45,2023
Ibiza Session Track 81,Tale Of Us,124,0.74,0.69,0.86,0.14,65,2025
Ibiza Session Track 82,Hot Since 82,130,0.89,0.34,0.61,0.01,70,2014
Ibiza Session Track 83,Calvin Harris,98,0.5,0.54,0.61,0.5,69,2018
Ibiza Session Track 84,Jamie Jones,125,0.97,0.45,0.7,0.03,76,2008
Ibiza Session Track 85,Calvin Harris,127,0.89,0.68,0.75,0.04,57,2024
Ibiza Session Track 86,The Martinez Brothers,126,0.84,0.12,0.7,0.02,79,2002
Ibiza Session Track 87,Marco Carola,125,0.66,0.7,0.71,0.09,73,2016
Ibiza Session Track 88,Calvin Harris,124,0.79,0.52,0.7,0.1,67,2022
Ibiza Session Track 89,Fisher,122,0.76,0.77,0.75,0.08,59,2014
Ibiza Session Track 90,MK,95,0.46,0.64,0.7,0.31,58,2021
Ibiza Session Track 91,Carl Cox,126,0.92,0.12,0.71,0.1,79,2015
Ibiza Session Track 92,Solomun,130,0.9,0.32,0.6,0.09,77,2000
Ibiza Session Track 93,Calvin Harris,127,0.91,0.71,0.66,0.03,53,2002
Ibiza Session Track 94,Solomun,97,0.38,0.33,0.63,0.34,75,1996
Ibiza Session Track 95,MK,82,0.51,0.39,0.55,0.79,62,2010
Ibiza Session Track 96,MK,122,0.73,0.64,0.81,0.08,52,1999
Ibiza Session Track 97,Carl Cox,105,0.37,0.63,0.57,0.66,45,2023
Ibiza Session Track 98,Jamie Jones,130,0.94,0.15,0.66,0.07,77,2021
Ibiza Session Track 99,Carl Cox,128,0.89,0.11,0.7,0.01,66,2017
Ibiza Session Track 100,Tale Of Us,98,0.56,0.56,0.63,0.66,52,2020
Ibiza Session Track 101,The Martinez Brothers,125,0.93,0.31,0.64,0.07,62,2013
Ibiza Session Track 102,Peggy Gou,129,0.94,0.52,0.67,0.01,77,2021
Ibiza Session Track 103,The Martinez Brothers,109,0.57,0.64,0.64,0.46,55,2001
Ibiza Session Track 104,Fisher,128,0.98,0.46,0.61,0.03,63,2016
Ibiza Session Track 105,Jamie Jones,119,0.66,0.52,0.78,0.05,42,2025
Ibiza Session Track 106,Calvin Harris,127,0.97,0.55,0.7,0.03,44,2019
Ibiza Session Track 107,Marco Carola,92,0.49,0.61,0.51,0.72,71,2016
Ibiza Session Track 108,Hot Since 82,126,0.65,0.69,0.73,0.03,58,2020
Ibiza Session Track 109,Maceo Plex,126,0.75,0.25,0.61,0.05,74,2018
Ibiza Session Track 110,Hot Since 82,125,0.74,0.11,0.71,0.02,79,2009
Ibiza Session Track 111,Marco Carola,128,0.98,0.79,0.68,0.01,73,1997
Ibiza Session Track 112,Maceo Plex,130,0.95,0.74,0.62,0.03,57,2019
Ibiza Session Track 113,Peggy Gou,129,0.93,0.75,0.71,0.03,47,2019
Ibiza Session Track 114,Marco Carola,122,0.77,0.5,0.81,0.15,52,2021
Ibiza Session Track 115,Black Coffee,123,0.65,0.78,0.71,0.14,60,2024
Ibiza Session Track 116,Solomun,126,0.81,0.16,0.65,0.08,55,2004
Ibiza Session Track 117,MK,133,0.82,0.24,0.77,0.07,70,2008
Ibiza Session Track 118,Peggy Gou,122,0.9,0.31,0.74,0.04,59,2008
Ibiza Session Track 119,Tale Of Us,103,0.43,0.34,0.64,0.56,42,2021
Ibiza Session Track 120,Hot Since 82,76,0.38,0.6,0.54,0.37,51,2008
Ibiza Session Track 121,Maceo Plex,126,0.68,0.71,0.76,0.1,51,2001
Ibiza Session Track 122,Calvin Harris,128,0.86,0.41,0.69,0.05,59,1998
Ibiza Session Track 123,David Guetta,102,0.33,0.57,0.58,0.74,43,1995
Ibiza Session Track 124,Carl Cox,133,0.7,0.19,0.67,0.06,61,2013
Ibiza Session Track 125,Tale Of Us,129,0.81,0.19,0.79,0.07,53,2004
Ibiza Session Track 126,Hot Since 82,126,0.9,0.21,0.73,0.08,59,2019
Ibiza Session Track 127,Calvin Harris,127,0.63,0.52,0.84,0.07,70,2015
Ibiza Session Track 128,Black Coffee,101,0.44,0.55,0.58,0.57,65,2010
Ibiza Session Track 129,Maceo Plex,126,0.9,0.62,0.7,0.01,77,2009
Ibiza Session Track 130,Maceo Plex,129,0.89,0.44,0.64,0.02,51,1999
Ibiza Session Track 131,Solomun,127,0.74,0.34,0.69,0.02,79,2006
Ibiza Session Track 132,Maceo Plex,124,0.7,0.35,0.65,0.09,78,2022
Ibiza Session Track 133,Black Coffee,130,0.92,0.68,0.68,0.02,42,2005
Ibiza Session Track 134,The Martinez Brothers,83,0.48,0.53,0.69,0.72,70,1995
Ibiza Session Track 135,Maceo Plex,89,0.42,0.42,0.68,0.49,73,2020
Ibiza Session Track 136,The Martinez Brothers,125,0.82,0.85,0.79,0.05,50,2019
Ibiza Session Track 137,David Guetta,125,0.85,0.81,0.74,0.08,45,2019
Ibiza Session Track 138,Marco Carola,96,0.59,0.44,0.55,0.79,43,2011
Ibiza Session Track 139,Calvin Harris,127,0.86,0.59,0.74,0.01,57,1999
Ibiza Session Track 140,MK,127,0.61,0.9,0.89,0.06,69,2018
Ibiza Session Track 141,Carl Cox,94,0.47,0.34,0.51,0.48,54,2017
Ibiza Session Track 142,Peggy Gou,126,0.85,0.22,0.61,0.01,71,1996
Ibiza Session Track 143,Tale Of Us,119,0.72,0.88,0.83,0.12,55,2025
Ibiza Session Track 144,Solomun,123,0.83,0.82,0.71,0.0,51,2005
Ibiza Session Track 145,Carl Cox,123,0.74,0.15,0.71,0.03,70,2022
Ibiza Session Track 146,Fisher,125,0.89,0.33,0.79,0.04,54,2000
Ibiza Session Track 147,Peggy Gou,123,0.84,0.66,0.87,0.18,73,1997
Ibiza Session Track 148,Fisher,126,0.66,0.74,0.85,0.17,42,2019
Ibiza Session Track 149,MK,124,0.65,0.77,0.84,0.05,79,1998
Ibiza Session Track 150,Calvin Harris,127,0.91,0.62,0.69,0.01,62,2007
Ibiza Session Track 151,Black Coffee,128,0.75,0.53,0.74,0.11,67,2022
Ibiza Session Track 152,Black Coffee,101,0.41,0.57,0.56,0.65,61,2021
Ibiza Session Track 153,Hot Since 82,112,0.35,0.54,0.62,0.54,44,2009
Ibiza Session Track 154,Calvin Harris,122,0.72,0.68,0.87,0.12,61,2025
Ibiza Session Track 155,Maceo Plex,125,0.74,0.31,0.66,0.09,67,2024
Ibiza Session Track 156,MK,128,0.9,0.67,0.64,0.05,51,2009
Ibiza Session Track 157,David Guetta,88,0.53,0.6,0.62,0.38,69,2010
Ibiza Session Track 158,Jamie Jones,111,0.46,0.69,0.57,0.65,77,1996
Ibiza Session Track 159,Marco Carola,128,0.87,0.15,0.63,0.07,40,2010
Ibiza Session Track 160,Tale Of Us,123,0.84,0.9,0.78,0.2,78,2011
Ibiza Session Track 161,Black Coffee,125,0.87,0.51,0.69,0.04,47,2018
Ibiza Session Track 162,Jamie Jones,124,0.84,0.29,0.75,0.03,52,2019
Ibiza Session Track 163,The Martinez Brothers,104,0.43,0.66,0.64,0.41,79,2011
Ibiza Session Track 164,Fisher,122,0.8,0.66,0.89,0.06,66,2013
Ibiza Session Track 165,The Martinez Brothers,123,0.77,0.88,0.89,0.07,79,2001
Ibiza Session Track 166,Hot Since 82,124,0.8,0.85,0.83,0.13,49,2009
Ibiza Session Track 167,MK,125,0.87,0.66,0.62,0.04,47,2020
Ibiza Session Track 168,Calvin Harris,125,0.81,0.32,0.62,0.04,47,2013
Ibiza Session Track 169,Fisher,123,0.8,0.2,0.78,0.0,42,2018
Ibiza Session Track 170,Carl Cox,128,0.88,0.61,0.7,0.04,49,2001
Ibiza Session Track 171,Peggy Gou,124,0.65,0.73,0.75,0.15,70,2022
Ibiza Session Track 172,Marco Carola,113,0.49,0.63,0.53,0.45,43,2002
Ibiza Session Track 173,Solomun,87,0.35,0.57,0.57,0.78,55,1997
Ibiza Session Track 174,Marco Carola,124,0.77,0.64,0.74,0.2,60,1999
Ibiza Session Track 175,The Martinez Brothers,124,0.74,0.32,0.76,0.05,61,2018
Ibiza Session Track 176,Jamie Jones,125,0.88,0.51,0.63,0.04,54,2014
Ibiza Session Track 177,MK,131,0.89,0.62,0.68,0.02,42,2020
Ibiza Session Track 178,Tale Of Us,125,0.96,0.77,0.7,0.04,60,2018
Ibiza Session Track 179,Carl Cox,125,0.74,0.65,0.75,0.19,71,2014
Ibiza Session Track 180,Peggy Gou,112,0.37,0.37,0.64,0.38,56,2003
Ibiza Session Track 181,Peggy Gou,108,0.33,0.57,0.6,0.74,65,2011
Ibiza Session Track 182,Marco Carola,70,0.5,0.58,0.51,0.46,48,2016
Ibiza Session Track 183,David Guetta,121,0.71,0.75,0.74,0.05,52,1995
Ibiza Session Track 184,David Guetta,130,0.83,0.28,0.65,0.0,53,2006
Ibiza Session Track 185,The Martinez Brothers,87,0.42,0.64,0.67,0.72,68,1995
Ibiza Session Track 186,Hot Since 82,126,0.7,0.7,0.81,0.03,78,2013
Ibiza Session Track 187,MK,126,0.93,0.13,0.77,0.08,76,2013
Ibiza Session Track 188,Marco Carola,122,0.91,0.32,0.68,0.1,56,2001
Ibiza Session Track 189,Fisher,131,0.93,0.42,0.67,0.05,71,1999
Ibiza Session Track 190,Maceo Plex,127,0.89,0.56,0.65,0.02,58,2009
Ibiza Session Track 191,Maceo Plex,126,0.71,0.22,0.76,0.01,60,2023
Ibiza Session Track 192,Jamie Jones,126,0.76,0.28,0.77,0.04,71,2000
Ibiza Session Track 193,David Guetta,93,0.4,0.68,0.54,0.38,72,2019
Ibiza Session Track 194,Calvin Harris,128,0.75,0.39,0.64,0.02,60,2023
Ibiza Session Track 195,Marco Carola,124,0.7,0.82,0.83,0.19,75,1995
Ibiza Session Track 196,Peggy Gou,123,0.77,0.85,0.77,0.15,80,2007
Ibiza Session Track 197,Solomun,82,0.42,0.36,0.7,0.46,65,2006
Ibiza Session Track 198,Maceo Plex,125,0.87,0.89,0.86,0.09,52,2007
Ibiza Session Track 199,Black Coffee,124,0.77,0.86,0.72,0.02,48,2018
Ibiza Session Track 200,Carl Cox,129,0.93,0.78,0.75,0.02,45,2007
Ibiza Session Track 201,Solomun,127,0.98,0.57,0.68,0.04,71,2016
Ibiza Session Track 202,MK,124,0.71,0.79,0.72,0.02,40,2017
Ibiza Session Track 203,Solomun,120,0.86,0.72,0.87,0.16,50,1995
Ibiza Session Track 204,Peggy Gou,127,0.7,0.78,0.89,0.03,59,2011
Ibiza Session Track 205,Jamie Jones,106,0.51,0.38,0.67,0.53,53,2025
Ibiza Session Track 206,Calvin Harris,127,0.78,0.15,0.64,0.08,48,2002
Ibiza Session Track 207,Calvin Harris,130,0.9,0.14,0.65,0.1,65,2011
Ibiza Session Track 208,Fisher,129,0.91,0.67,0.68,0.0,58,2000
Ibiza Session Track 209,Calvin Harris,104,0.58,0.42,0.53,0.6,59,2001
Ibiza Session Track 210,Carl Cox,109,0.52,0.46,0.65,0.62,63,2007
Ibiza Session Track 211,Solomun,124,0.9,0.62,0.66,0.01,61,2002
Ibiza Session Track 212,David Guetta,109,0.53,0.48,0.61,0.5,49,1996
Ibiza Session Track 213,Calvin Harris,121,0.66,0.83,0.84,0.18,69,2024
Ibiza Session Track 214,Carl Cox,124,0.85,0.85,0.87,0.07,43,1999
Ibiza Session Track 215,Black Coffee,123,0.97,0.6,0.61,0.04,61,2016
Ibiza Session Track 216,Maceo Plex,122,0.76,0.84,0.85,0.19,55,2002
Ibiza Session Track 217,Tale Of Us,106,0.35,0.47,0.56,0.35,58,2021
Ibiza Session Track 218,Peggy Gou,91,0.56,0.54,0.66,0.54,77,2003
Ibiza Session Track 219,Hot Since 82,102,0.37,0.5,0.54,0.34,45,1995
Ibiza Session Track 220,Maceo Plex,128,0.91,0.63,0.61,0.02,40,2023
Ibiza Session Track 221,Hot Since 82,127,0.78,0.32,0.6,0.09,50,2000
Ibiza Session Track 222,Black Coffee,94,0.35,0.6,0.53,0.53,59,2018
Ibiza Session Track 223,The Martinez Brothers,131,0.93,0.11,0.68,0.04,54,2000
Ibiza Session Track 224,Black Coffee,72,0.45,0.66,0.57,0.38,76,1996
Ibiza Session Track 225,Calvin Harris,126,0.96,0.55,0.67,0.03,56,2012
Ibiza Session Track 226,Fisher,128,0.91,0.45,0.72,0.01,41,2006
Ibiza Session Track 227,Solomun,121,0.92,0.38,0.6,0.02,45,2018
Ibiza Session Track 228,Marco Carola,126,0.9,0.76,0.67,0.04,57,2016
Ibiza Session Track 229,Hot Since 82,129,0.99,0.71,0.65,0.05,78,1997
Ibiza Session Track 230,Jamie Jones,126,0.96,0.72,0.7,0.02,73,2010
Ibiza Session Track 231,Fisher,124,0.89,0.69,0.89,0.13,44,1997
Ibiza Session Track 232,Black Coffee,109,0.37,0.57,0.58,0.52,63,2002
Ibiza Session Track 233,Maceo Plex,127,0.94,0.59,0.71,0.01,66,1995
Ibiza Session Track 234,Calvin Harris,131,0.9,0.55,0.71,0.02,51,2022
Ibiza Session Track 235,Jamie Jones,128,0.92,0.73,0.63,0.05,53,2002
Ibiza Session Track 236,Fisher,123,0.88,0.5,0.77,0.01,62,2000
Ibiza Session Track 237,MK,128,0.89,0.63,0.61,0.01,61,2015
Ibiza Session Track 238,Tale Of Us,87,0.58,0.44,0.6,0.62,63,2008
Ibiza Session Track 239,Peggy Gou,108,0.56,0.48,0.65,0.79,79,2025
Ibiza Session Track 240,Fisher,123,0.71,0.65,0.87,0.04,67,2010
Ibiza Session Track 241,David Guetta,126,0.83,0.32,0.62,0.06,80,2002
Ibiza Session Track 242,Black Coffee,122,0.83,0.85,0.83,0.03,40,2008
Ibiza Session Track 243,The Martinez Brothers,123,0.64,0.54,0.8,0.09,65,1999
Ibiza Session Track 244,Carl Cox,128,0.96,0.6,0.62,0.02,48,2023
Ibiza Session Track 245,Peggy Gou,114,0.31,0.34,0.6,0.68,55,2000
Ibiza Session Track 246,Fisher,129,0.76,0.35,0.7,0.02,41,2016
Ibiza Session Track 247,Hot Since 82,125,0.91,0.76,0.72,0.04,80,2025
Ibiza Session Track 248,Solomun,123,0.89,0.64,0.73,0.15,57,2011
Ibiza Session Track 249,Jamie Jones,125,0.66,0.89,0.73,0.17,74,2017
Ibiza Session Track 250,Fisher,101,0.32,0.55,0.52,0.65,42,1999
Ibiza Session Track 251,Peggy Gou,130,0.92,0.23,0.77,0.04,65,2013
Ibiza Session Track 252,Hot Since 82,126,0.89,0.58,0.7,0.04,68,2017
Ibiza Session Track 253,The Martinez Brothers,129,0.97,0.59,0.62,0.04,47,2009
Ibiza Session Track 254,Maceo Plex,128,0.86,0.74,0.63,0.01,48,2015
Ibiza Session Track 255,Peggy Gou,129,0.88,0.17,0.78,0.08,44,2025
Ibiza Session Track 256,Fisher,126,0.89,0.4,0.66,0.04,42,2000
Ibiza Session Track 257,The Martinez Brothers,131,0.88,0.48,0.68,0.04,42,2023
Ibiza Session Track 258,Solomun,125,0.61,0.84,0.9,0.0,63,2021
Ibiza Session Track 259,The Martinez Brothers,128,0.77,0.2,0.68,0.03,44,2003
Ibiza Session Track 260,Maceo Plex,123,0.8,0.38,0.71,0.04,65,2012
Ibiza Session Track 261,The Martinez Brothers,92,0.4,0.66,0.67,0.51,54,2021
Ibiza Session Track 262,Tale Of Us,129,0.85,0.42,0.67,0.04,60,2008
Ibiza Session Track 263,David Guetta,125,0.87,0.67,0.66,0.01,66,2024
Ibiza Session Track 264,Carl Cox,116,0.3,0.39,0.6,0.45,65,1995
Ibiza Session Track 265,David Guetta,129,0.94,0.59,0.61,0.01,41,2007
Ibiza Session Track 266,Tale Of Us,122,0.7,0.89,0.76,0.11,68,2009
Ibiza Session Track 267,MK,106,0.52,0.58,0.7,0.71,51,2009
Ibiza Session Track 268,Tale Of Us,129,0.86,0.49,0.74,0.01,48,2009
Ibiza Session Track 269,Carl Cox,90,0.44,0.66,0.62,0.63,47,2004
Ibiza Session Track 270,Maceo Plex,98,0.57,0.68,0.57,0.75,73,2011
Ibiza Session Track 271,Calvin Harris,124,0.89,0.85,0.83,0.17,76,1997
Ibiza Session Track 272,Calvin Harris,123,0.89,0.72,0.76,0.08,42,2024
Ibiza Session Track 273,Marco Carola,93,0.58,0.36,0.7,0.39,40,2018
Ibiza Session Track 274,Carl Cox,126,0.84,0.35,0.68,0.02,79,2013
Ibiza Session Track 275,MK,121,0.89,0.6,0.89,0.19,59,2000
Ibiza Session Track 276,Tale Of Us,130,0.83,0.27,0.62,0.05,80,2011
Ibiza Session Track 277,Marco Carola,127,0.93,0.31,0.61,0.01,43,1999
Ibiza Session Track 278,Hot Since 82,120,0.54,0.64,0.64,0.49,75,2013
Ibiza Session Track 279,Jamie Jones,123,0.75,0.8,0.84,0.07,73,2019
Ibiza Session Track 280,Black Coffee,126,0.88,0.14,0.75,0.08,45,1995
Ibiza Session Track 281,David Guetta,127,0.88,0.13,0.73,0.08,57,2023
Ibiza Session Track 282,The Martinez Brothers,125,0.75,0.2,0.69,0.07,77,2009
Ibiza Session Track 283,David Guetta,130,0.8,0.39,0.66,0.09,66,2007
Ibiza Session Track 284,Solomun,101,0.45,0.51,0.67,0.71,53,1996
Ibiza Session Track 285,Peggy Gou,125,0.77,0.36,0.74,0.08,79,2008
Ibiza Session Track 286,Maceo Plex,124,0.76,0.81,0.75,0.17,56,2014
Ibiza Session Track 287,Peggy Gou,128,0.87,0.28,0.65,0.08,79,2006
Ibiza Session Track 288,Jamie Jones,109,0.36,0.66,0.54,0.76,53,1998
Ibiza Session Track 289,Marco Carola,124,0.97,0.7,0.75,0.02,53,2024
Ibiza Session Track 290,Marco Carola,127,0.67,0.8,0.79,0.01,52,1999
Ibiza Session Track 291,MK,125,0.87,0.87,0.71,0.16,44,2007
Ibiza Session Track 292,The Martinez Brothers,121,0.94,0.2,0.7,0.04,54,2009
Ibiza Session Track 293,Black Coffee,126,0.96,0.57,0.74,0.03,57,2011
Ibiza Session Track 294,David Guetta,126,0.8,0.73,0.8,0.1,78,2008
Ibiza Session Track 295,Maceo Plex,131,0.95,0.76,0.74,0.02,59,2017
Ibiza Session Track 296,Peggy Gou,132,0.89,0.66,0.71,0.02,61,2019
Ibiza Session Track 297,Carl Cox,122,0.65,0.6,0.87,0.17,47,1996
Ibiza Session Track 298,David Guetta,87,0.42,0.59,0.59,0.65,59,2024
Ibiza Session Track 299,Solomun,120,0.74,0.72,0.73,0.13,44,2024
Ibiza Session Track 300,Tale Of Us,130,0.95,0.6,0.7,0.02,57,2011
Ibiza Session Track 301,MK,135,0.87,0.31,0.74,0.08,78,2005
Ibiza Session Track 302,Maceo Plex,124,0.86,0.67,0.83,0.07,53,2008
Ibiza Session Track 303,Solomun,124,0.81,0.39,0.64,0.05,74,2019
Ibiza Session Track 304,Hot Since 82,124,0.67,0.5,0.81,0.13,64,1996
Ibiza Session Track 305,Peggy Gou,130,0.95,0.61,0.64,0.01,74,2003
Ibiza Session Track 306,Marco Carola,127,0.9,0.67,0.7,0.03,75,2009
